ID,Name,Author,Format,Page,Language,ISBN_10,ISBN_13
BD0,Milkman,Anna Burns,Paperback,368,English,0571338755,9780571338757
BD1,Fire and Blood : A History of the Targaryen Kings from Aegon the Conqueror to Aegon III as scribed by Archmaester Gyldayn,George R. R. Martin,Hardback,704,English,0008307733,9780008307738
BD2,Normal People,Sally Rooney,Paperback,288,English,0571347290,9780571347292
BD3,Killing Commendatore,Haruki Murakami,Hardback,704,English,1787300196,9781787300194
BD4,The Silence of the Girls,Pat Barker,Hardback,336,English,0241338077,9780241338070
BD5,Melmoth,Sarah Perry,Hardback,320,English,1788160657,9781788160650
BD6,The Overstory : Shortlisted for the Man Booker Prize 2018,Richard Powers,Hardback,512,English,1785151630,9781785151637
BD7,The End : My Struggle Book 6,Karl Ove Knausgaard,Hardback,1168,English,1846558298,9781846558290
BD8,Kudos,Rachel Cusk,Hardback,240,English,0571346642,9780571346646
BD9,Everything Under,Daisy Johnson,Hardback,272,English,191070234X,9781910702345
BD10,Washington Black : Shortlisted for the Man Booker Prize 2018,Esi Edugyan,Hardback,432,English,1846689597,9781846689598
BD11,Where The Crawdads Sing,Delia Owens,Hardback,320,English,0735219095,9780735219090
BD12,Still Me : Discover the love story that captured 21 million hearts,Jojo Moyes,Hardback,496,English,0718183185,9780718183189
BD13,Spinning Silver,Naomi Novik,Hardback,480,English,1509899014,9781509899012
BD14,The Tattooist of Auschwitz : the heart-breaking and unforgettable international bestseller,Heather Morris,Paperback,320,English,1785763679,9781785763670
BD15,There There,Tommy Orange,Hardback,304,English,0525520376,9780525520375
BD16,The Great Alone,Kristin Hannah,Paperback,448,English,1447286006,9781447286004
BD17,A Place for Us,Fatima Farheen Mirza,Hardback,400,English,1524763551,9781524763558
BD18,Circe : The Sunday Times Bestseller - LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2019,Madeline Miller,Hardback,352,English,1408890089,9781408890080
BD19,"The Immortalists : If you knew the date of your death, how would you live?",Chloe Benjamin,Paperback,416,English,1472244990,9781472244994
BD20,Warlight,Michael Ondaatje,Paperback,304,English,1787330729,9781787330726
BD21,Us Against You,Fredrik Backman,Hardback,448,English,1501160796,9781501160790
BD22,The Overstory : A Novel,Richard Powers,Hardback,512,English,039363552X,9780393635522
BD23,Florida,Lauren Groff,Paperback,288,English,1785151894,9781785151897
BD24,The Mars Room,Rachel Kushner,Paperback,352,English,1910702684,9781910702680
BD25,Love and Ruin,Paula McLain,Hardback,400,English,0708898920,9780708898925
BD26,Female Persuasion : A Novel,Meg Wolitzer,Paperback,464,English,0525535055,9780525535058
BD27,"You Think It, I'll Say It : Stories",Curtis Sittenfeld,Paperback,240,English,0525510702,9780525510703
BD28,Only Killers and Thieves,Paul Howarth,Paperback,416,English,1911590065,9781911590064
BD29,Girls Burn Brighter,Shobha Rao,Hardback,320,English,1250074258,9781250074256
BD30,The Book of M,Peng Shepherd,Hardback,496,English,0008225605,9780008225605
BD31,The Perfect Mother : A gripping thriller with a nail-biting twist,Aimee Molloy,Paperback,336,English,0751570338,9780751570335
BD32,Everything Here Is Beautiful,Mira T. Lee,Paperback,368,English,0525558233,9780525558231
BD33,White Chrysanthemum,Mary Lynn Bracht,Paperback,320,English,1784741450,9781784741457
BD34,Song of a Captive Bird : A Novel,Jasmin Darznik,Hardback,416,English,0399182314,9780399182310
BD35,The Kiss Quotient,Helen Hoang,Paperback,336,English,1786496763,9781786496768
BD36,The Perfect Nanny,Leila Slimani,Paperback,240,English,0143132172,9780143132172
BD37,The Chalk Man : The Sunday Times bestseller. The most chilling book you'll read this year,C. J. Tudor,Hardback,352,English,0718187431,9780718187439
BD38,The Largesse of the Sea Maiden : Stories,Denis Johnson,Hardback,224,English,0812988639,9780812988635
BD39,My Year of Rest and Relaxation,Ottessa Moshfegh,Paperback,304,English,1787330419,9781787330412
BD40,The Wedding Date : A feel-good romance to warm your heart,Jasmine Guillory,Paperback,320,English,1472255879,9781472255877
BD41,The Mermaid and Mrs Hancock,Imogen Hermes Gowar,Hardback,496,English,1911215728,9781911215721
BD42,Lethal White,Robert Galbraith,Hardback,656,English,0751572853,9780751572858
BD43,Dark Sacred Night : The Brand New Ballard and Bosch Thriller,Michael Connelly,Hardback,448,English,140918272X,9781409182726
BD45,Thirteen : The serial killer isn't on trial. He's on the jury,Steve Cavanagh,Paperback,368,English,1409170675,9781409170679
BD46,Tombland,C. J. Sansom,Hardback,880,English,1447284488,9781447284482
BD47,The House on Vesper Sands,Paraic O'Donnell,Hardback,384,English,1474600395,9781474600392
BD48,I'll Be Gone in the Dark,Michelle McNamara,Paperback,352,English,057134514X,9780571345144
BD49,The Death of Mrs Westaway,Ruth Ware,Paperback,400,English,1911215043,9781911215042
BD50,The Broken Girls : The chilling suspense thriller that will have your heart in your mouth,Simone St. James,Paperback,336,English,1472253655,9781472253651
BD51,The Wife Between Us,Greer Hendricks,Paperback,352,English,1250185122,9781250185129
BD52,The Woman in the Window,A. J. Finn,Paperback,448,English,0008234167,9780008234164
BD53,Bearskin : A Novel,James A. McLaughlin,Hardback,352,English,0062742795,9780062742797
BD54,The President is Missing,President Bill Clinton,Paperback,528,English,1780898401,9781780898407
BD55,The Outsider,Stephen King,Hardback,496,English,1473676355,9781473676350
BD56,Crimson Lake,Candice Fox,Paperback,416,English,178475806X,9781784758066
BD57,Look For Me,Lisa Gardner,Paperback,416,English,1784758620,9781784758622
BD58,17th Suspect : (Women's Murder Club 17),James Patterson,Paperback,384,English,1780895224,9781780895222
BD59,The Perfect Couple,Elin Hilderbrand,Hardback,480,English,0316375268,9780316375269
BD60,London Rules : Jackson Lamb Thriller 5,Mick Herron,Hardback,352,English,1473657377,9781473657373
BD61,The Favourite Sister,Jessica Knoll,Hardback,384,English,150983995X,9781509839957
BD62,The Story Orchestra: The Sleeping Beauty,Katy Flint,Hardback,24,English,1786030934,9781786030931
BD63,Tom Gates 15: What Monster?,Liz Pichon,Hardback,256,English,1407179861,9781407179865
BD64,Diary of a Wimpy Kid: The Meltdown (book 13),Jeff Kinney,Hardback,224,English,0241321980,9780241321980
BD65,The Cook and the King,Julia Donaldson,Hardback,32,English,1509813772,9781509813773
BD66,The Ice Monster,David Walliams,Hardback,496,English,000816469X,9780008164690
BD67,How Winston Delivered Christmas : A Christmas Story in Twenty-Four-and-a-Half Chapters,Alex T. Smith,Hardback,176,English,1509851526,9781509851522
BD68,Natboff! One Million Years of Stupidity,Andy Stanton,Paperback,384,English,1405290986,9781405290982
BD69,The Night Diary,Veera Hiranandani,Hardback,272,English,0735228515,9780735228511
BD70,A Day in the Life of Marlon Bundo,Jill Twiss,Hardback,40,English,145217380X,9781452173801
BD71,The Burning Maze (The Trials of Apollo Book 3),Rick Riordan,Hardback,448,English,0141363991,9780141363998
BD72,Be Kind,Pat Zietlow Miller,Hardback,32,English,1626723214,9781626723214
BD73,The Wild Robot Escapes,Lecturer in Classics Peter Brown,Hardback,288,English,0316382043,9780316382045
BD74,The Word Collector,Peter H Reynolds,Hardback,40,English,0545865026,9780545865029
BD75,Ghost Boys,Jewell Parker Rhodes,Paperback,224,English,1510104399,9781510104396
BD76,Love,Matt de la Pena,Hardback,40,English,1524740918,9781524740917
BD77,Rebound,Kwame Alexander,Paperback,416,English,1783447206,9781783447206
BD78,Hello Hello,Brendan Wenzel,Hardback,52,English,1452150141,9781452150147
BD79,Peanut Butter and Jelly (a Narwhal and Jelly Book #3),Ben Clanton,Hardback,64,English,0735262454,9780735262454
BD80,Ocean Meets Sky,Terry Fan,Hardback,48,English,148147037X,9781481470377
BD81,"Baby Monkey, Private Eye",Brian Selznick,Hardback,192,English,1338180614,9781338180619
BD82,The Cardboard Kingdom,Chad Sell,Hardback,288,English,1524719374,9781524719371
BD83,Llamaphones,Janik Coat,Board book,36,English,141972827X,9781419728273
BD84,Hope in The Holler,Lisa Lewis Tyre,Hardback,224,English,0399546316,9780399546310
BD85,The Sasquatch and the Lumberjack,Crix Sheridan,Hardback,32,English,1632171619,9781632171610
BD86,Bob,Wendy Mass,Paperback,208,English,1925603598,9781925603590
