ID,Name,Author,Format,Page,Language,ISBN_10,ISBN_13
0,Eleanor Oliphant Is Completely Fine,Gail Honeyman,Hardcover,327,English,0735220689,9780735220683
1,The Hate U Give,Angie Thomas,Hardcover,444,English,0062498533,9780062498533
2,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,Hardcover,303,English,0062348671,9780062348678
3,Turtles All the Way Down,John Green,Hardcover,288,English,0525555366,9780525555360
4,The Handmaid's Tale,Margaret Atwood,Paperback,344,English,038549081X,9780385490818
5,Little Fires Everywhere,Celeste Ng,Hardcover,338,English,0735224293,9780735224292
6,Ready Player One,Ernest Cline,Hardcover,374,English,030788743X,9780307887436
7,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Hardcover,320,English,0439554934,9780439554930
8,The Woman in the Window,A.J. Finn,Kindle Edition,449,English,Unknown,Unknown
9,A Wrinkle in Time,Madeleine L'Engle,Paperback,218,English,1250153271,9781250153272
10,A Court of Wings and Ruin,Sarah J. Maas,Paperback,699,English,1408857901,9781408857908
11,Pride and Prejudice,Jane Austen,Paperback,279,English,Unknown,Unknown
12,Beartown,Fredrik Backman,Kindle Edition,432,English,Unknown,Unknown
13,The Cruel Prince,Holly Black,Hardcover,370,English,0316310271,9780316310277
14,Children of Blood and Bone,Tomi Adeyemi,Hardcover,544,English,1250170974,9781250170972
15,Cinder,Marissa Meyer,Hardcover,400,English,Unknown,Unknown
16,Harry Potter and the Chamber of Secrets,J.K. Rowling,Hardcover,341,English,0439064864,9780439064866
17,A Court of Mist and Fury,Sarah J. Maas,Kindle Edition,626,English,Unknown,Unknown
18,Call Me By Your Name,André Aciman,Paperback,248,English,1786495252,9781786495259
19,A Court of Frost and Starlight,Sarah J. Maas,Hardcover,229,English,168119631X,9781681196312
20,A Darker Shade of Magic,V.E. Schwab,Hardcover,400,English,0765376458,9780765376459
21,The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,Hardcover,513,English,0062382802,9780062382801
22,Circe,Madeline Miller,Hardcover,393,English,0316556343,9780316556347
23,Born a Crime: Stories From a South African Childhood,Trevor Noah,Hardcover,304,English,0385689225,9780385689229
24,A Man Called Ove,Fredrik Backman,Hardcover,337,English,1476738017,9781476738017
25,Crazy Rich Asians,Kevin Kwan,Hardcover,403,English,0385536976,9780385536974
26,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Paperback,226,English,1400032717,9781400032716
27,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Paperback,291,English,1984801813,9781984801814
28,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Hardcover,224,English,0393609391,9780393609394
29,All the Light We Cannot See,Anthony Doerr,Hardcover,531,English,1476746583,9781476746586
30,When Breath Becomes Air,Paul Kalanithi,Kindle Edition,208,English,Unknown,Unknown
31,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Hardcover,388,English,1501139231,9781501139239
32,Jane Eyre,Charlotte Brontë,Paperback,507,English,0142437204,9780142437209
33,Still Me,Jojo Moyes,Hardcover,390,English,0399562451,9780399562457
34,Into the Water,Paula Hawkins,Hardcover,386,English,0735211205,9780735211209
35,Harry Potter and the Order of the Phoenix,J.K. Rowling,Paperback,870,English,0439358078,9780439358071
